iter	F1	Logloss
0	0.808665164	0.6850792824
1	0.8087926091	0.6780246366
2	0.8107308286	0.6709879035
3	0.8106990567	0.664419413
4	0.8099280669	0.6578254379
5	0.8118850337	0.6512271856
6	0.8111660593	0.6451660758
7	0.8126745017	0.6393406466
8	0.8101463415	0.6335801085
9	0.809871077	0.6285401524
10	0.8121220004	0.623013693
11	0.8128822381	0.6173933216
12	0.8115582806	0.6126651665
13	0.8119406885	0.6080418113
14	0.8143813796	0.6034992258
15	0.8150845254	0.5986289292
16	0.8151036589	0.5945651809
17	0.8166417862	0.5901939888
18	0.8185463011	0.586477019
19	0.8195279664	0.5824480333
20	0.819379845	0.5787754722
21	0.8201095714	0.5755442396
22	0.8206581235	0.5722299595
23	0.8206909863	0.5693646082
24	0.8229099782	0.5665400741
25	0.8224874856	0.5637116096
26	0.8225102669	0.5611784108
27	0.8238461538	0.5580750559
28	0.8234086242	0.5554575062
29	0.8247290451	0.5528323963
30	0.8238235671	0.5503321893
31	0.8251837648	0.5480250862
32	0.8254252462	0.5459792304
33	0.8250047988	0.5439754362
34	0.8253277902	0.54177068
35	0.8250031957	0.5403222837
36	0.8250719539	0.5382230498
37	0.826520184	0.5358711527
38	0.8256259581	0.5343100102
39	0.8269304403	0.5322330956
40	0.82513731	0.5304830712
41	0.8262952789	0.5283292271
42	0.8281977671	0.5263214721
43	0.8290538388	0.5246322382
44	0.830092445	0.5226370347
45	0.8303525805	0.5207102063
46	0.830566905	0.5187137728
47	0.8312368303	0.5169966548
48	0.8317261639	0.515340927
49	0.8324400204	0.5134662496
50	0.8318335567	0.5118008364
51	0.8314190914	0.5105118094
52	0.8312069405	0.5090664416
53	0.8318437181	0.5074970015
54	0.8318957255	0.5059067135
55	0.8328861633	0.5043592495
56	0.8329180244	0.5029393501
57	0.8332375295	0.5018078996
58	0.8330033846	0.5006029339
59	0.8335992851	0.4993501346
60	0.8344176553	0.4981176026
61	0.836108453	0.4955091638
62	0.8363218684	0.4943826776
63	0.836906585	0.4931983873
64	0.8369690011	0.4920734197
65	0.8368323655	0.4911278953
66	0.8375119617	0.4901862629
67	0.8379653238	0.489235801
68	0.8388495632	0.4881752531
69	0.8393267024	0.4868732154
70	0.8399846997	0.4860565329
71	0.8403672064	0.4850861306
72	0.8404614698	0.4841707858
73	0.8409119857	0.4834397052
74	0.8408381632	0.482878773
75	0.8414618617	0.4821939471
76	0.8415892016	0.4815171013
77	0.8428826076	0.4799048415
78	0.8426415335	0.4787637509
79	0.8427825201	0.4779656242
80	0.8437141765	0.4766001082
81	0.8435270133	0.4759570265
82	0.8441301994	0.4751140206
83	0.8441641182	0.4744567282
84	0.8443651653	0.4737773164
85	0.8437360536	0.4731586066
86	0.843971179	0.4724527191
87	0.8442063644	0.4716408466
88	0.8444076011	0.4708600989
89	0.8447165359	0.4700977803
90	0.8452069647	0.4690855586
91	0.8463353958	0.4671329343
92	0.8460262789	0.4663848282
93	0.8462814134	0.4657171077
94	0.8458987116	0.4649201884
95	0.8467525839	0.4643478154
96	0.8468112245	0.4638475734
97	0.8474143978	0.463051016
98	0.8479632817	0.4626231571
99	0.8478011472	0.4620698511
100	0.8484964322	0.4603579433
101	0.8488786952	0.4597954488
102	0.8496973558	0.4585318352
103	0.8511370151	0.4565238127
104	0.8515002867	0.4561669275
105	0.8528700522	0.453726157
106	0.8540354894	0.4509500205
107	0.8538339166	0.4504002525
108	0.8536507734	0.4499735514
