iter	Passed	Remaining
0	92	91925
1	192	96100
2	290	96587
3	383	95465
4	471	93883
5	561	93057
6	650	92218
7	739	91643
8	823	90716
9	902	89302
10	995	89469
11	1086	89451
12	1172	89005
13	1266	89177
14	1363	89527
15	1453	89396
16	1544	89291
17	1638	89375
18	1730	89340
19	1821	89244
20	1911	89134
21	2002	89018
22	2094	88977
23	2189	89039
24	2273	88682
25	2363	88535
26	2461	88698
27	2571	89255
28	2686	89937
29	2791	90245
30	2890	90349
31	2991	90493
32	3094	90688
33	3199	90897
34	3306	91164
35	3371	90294
36	3466	90228
37	3569	90370
38	3680	90683
39	3787	90902
40	3898	91176
41	3997	91188
42	4103	91326
43	4193	91103
44	4283	90912
45	4373	90694
46	4457	90380
47	4550	90242
48	4638	90031
49	4725	89778
50	4813	89565
51	4902	89367
52	4988	89128
53	5074	88899
54	5158	88631
55	5248	88479
56	5338	88315
57	5426	88132
58	5522	88085
59	5621	88073
60	5719	88047
61	5815	87986
62	5909	87886
63	5996	87696
64	6082	87495
65	6174	87377
66	6266	87263
67	6358	87149
68	6450	87032
69	6537	86857
70	6628	86728
71	6718	86589
72	6804	86408
73	6894	86278
74	6996	86286
75	7060	85836
76	7153	85747
77	7244	85636
78	7335	85521
79	7426	85404
80	7516	85281
81	7608	85180
82	7696	85030
83	7790	84958
84	7881	84838
85	7982	84838
86	8074	84738
87	8159	84561
88	8253	84484
89	8347	84399
90	8441	84321
91	8540	84294
92	8635	84215
93	8728	84126
94	8814	83971
95	8903	83844
96	8997	83756
97	9090	83671
98	9173	83490
99	9262	83363
100	9359	83304
101	9448	83182
102	9543	83114
103	9637	83027
104	9728	82924
105	9823	82855
106	9922	82807
107	10010	82682
108	10106	82611
109	10200	82529
110	10303	82524
111	10389	82376
112	10479	82262
113	10568	82137
114	10664	82070
115	10765	82038
116	10862	81975
117	10957	81901
118	11049	81802
119	11144	81728
120	11231	81590
121	11326	81513
122	11417	81407
123	11504	81275
124	11586	81107
125	11673	80974
126	11763	80865
127	11848	80719
128	11937	80598
129	12031	80519
130	12121	80411
131	12217	80337
132	12311	80254
133	12404	80168
134	12495	80065
135	12587	79967
136	12682	79888
137	12778	79820
138	12865	79690
139	12938	79480
140	13031	79392
141	13120	79276
142	13209	79161
143	13293	79024
144	13381	78905
145	13462	78747
146	13556	78662
147	13649	78576
148	13755	78563
149	13851	78490
150	13950	78436
151	14045	78357
152	14138	78268
153	14228	78162
154	14324	78089
155	14415	77993
156	14511	77916
157	14603	77826
158	14693	77720
159	14784	77620
160	14878	77535
161	14964	77406
162	15056	77315
163	15147	77217
164	15251	77180
165	15370	77222
166	15497	77301
167	15594	77230
168	15632	76865
169	15723	76766
170	15819	76692
171	15914	76613
172	16005	76510
173	16096	76411
174	16196	76354
175	16300	76317
176	16398	76249
177	16492	76161
178	16578	76039
179	16670	75944
180	16761	75845
181	16854	75752
182	16947	75663
183	17043	75582
184	17141	75513
185	17231	75408
186	17311	75265
187	17406	75182
188	17503	75107
189	17597	75018
190	17693	74943
191	17791	74873
192	17883	74778
193	17968	74652
194	18062	74565
195	18148	74446
196	18239	74346
197	18332	74254
198	18422	74153
199	18518	74072
200	18607	73967
201	18693	73848
202	18785	73752
203	18880	73670
204	18980	73606
205	19068	73498
206	19158	73394
207	19246	73286
208	19338	73191
209	19435	73113
210	19535	73048
211	19634	72980
212	19738	72931
213	19840	72870
214	19928	72762
215	20030	72701
216	20123	72612
217	20217	72522
218	20304	72408
219	20394	72308
220	20487	72217
221	20583	72133
222	20672	72027
223	20765	71938
224	20852	71824
225	20944	71730
226	21046	71670
227	21146	71600
228	21246	71532
229	21338	71438
230	21431	71344
231	21536	71293
232	21639	71234
233	21736	71155
234	21835	71081
235	21934	71008
236	22035	70942
237	22135	70870
238	22225	70769
239	22319	70678
240	22427	70632
241	22518	70533
242	22612	70444
243	22703	70342
244	22789	70228
245	22879	70125
246	22971	70031
247	23055	69910
248	23146	69810
249	23236	69708
250	23325	69604
251	23358	69332
252	23452	69245
253	23530	69109
254	23623	69016
255	23709	68904
256	23807	68828
257	23916	68782
258	24003	68672
259	24092	68570
260	24186	68482
261	24276	68382
262	24367	68283
263	24463	68199
264	24572	68153
265	24678	68096
266	24775	68016
267	24865	67917
268	24958	67825
269	25044	67713
270	25149	67654
271	25268	67631
272	25369	67557
273	25471	67489
274	25506	67245
275	25606	67170
276	25704	67091
277	25802	67011
278	25901	66935
279	26003	66865
280	26107	66800
281	26207	66725
282	26308	66653
283	26400	66559
284	26505	66495
285	26608	66428
286	26700	66332
287	26763	66164
288	26851	66060
289	26938	65953
290	27030	65857
291	27119	65755
292	27217	65674
293	27388	65769
294	27490	65696
295	27619	65690
296	27723	65620
297	27832	65564
298	27931	65483
299	28022	65385
300	28117	65295
301	28215	65214
302	28300	65101
303	28393	65006
304	28489	64918
305	28582	64825
306	28674	64727
307	28769	64638
308	28877	64576
309	28967	64476
310	29060	64380
311	29163	64310
312	29260	64224
313	29347	64116
314	29435	64011
315	29536	63933
316	29592	63760
317	29689	63673
318	29777	63568
319	29869	63472
320	29979	63413
321	30021	63213
322	30111	63113
323	30205	63020
324	30296	62922
325	30396	62844
326	30498	62769
327	30539	62569
328	30631	62473
329	30717	62365
330	30804	62261
331	30898	62168
332	30996	62085
333	31104	62022
334	31201	61937
335	31292	61839
336	31376	61729
337	31464	61626
338	31546	61510
339	31644	61427
340	31754	61366
341	31841	61262
342	31933	61166
343	31969	60964
344	32059	60865
345	32146	60762
346	32237	60666
347	32333	60578
348	32417	60469
349	32501	60359
350	32604	60285
351	32694	60186
352	32790	60099
353	32878	59998
354	32967	59898
355	33062	59810
356	33149	59705
357	33242	59613
358	33328	59508
359	33415	59404
360	33497	59292
361	33546	59123
362	33635	59023
363	33723	58923
364	33811	58822
365	33894	58713
366	33984	58616
367	34075	58520
368	34159	58413
369	34250	58318
370	34337	58217
371	34425	58115
372	34510	58010
373	34599	57913
374	34701	57836
375	34796	57746
376	34881	57641
377	34971	57545
378	35075	57471
379	35170	57384
380	35274	57309
381	35374	57228
382	35469	57140
383	35576	57069
384	35667	56975
385	35769	56897
386	35872	56821
387	35964	56728
388	36061	56641
389	36152	56546
390	36238	56442
391	36334	56354
392	36419	56251
393	36507	56150
394	36599	56057
395	36687	55958
396	36776	55859
397	36871	55771
398	36965	55679
399	37051	55577
400	37142	55482
401	37227	55377
402	37314	55278
403	37412	55192
404	37512	55111
405	37608	55023
406	37710	54944
407	37806	54856
408	37895	54758
